expert_id,item_id,item_code,block,item_label,relevance_1_4,clarity_1_4,need_1_4,item_mean_1_4
E01,1,G1,G,Klinická vierohodnosť rozhovoru,4,4,4,4.0
E01,2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,4,4,4,4.0
E01,3,G3,G,Vnútorná konzistentnosť rozhovoru,4,4,4,4.0
E01,4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,3,4,4,3.667
E01,5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,3,4,3,3.333
E01,6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,4,4,4,4.0
E01,7,S2,S,Odhad funkčného dopadu na bežné fungovanie,4,4,4,4.0
E01,8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,4,4,4,4.0
E01,9,R2,R,Klišé alebo šablónovité odpovede,4,3,3,3.333
E01,10,R3,R,Nesúlad medzi kontextom a symptomatikou,4,4,4,4.0
E01,11,R4,R,Podozrenie na inú primárnu psychopatológiu,4,4,4,4.0
E01,12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,3,2,3,2.667
E02,1,G1,G,Klinická vierohodnosť rozhovoru,4,4,4,4.0
E02,2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,4,4,4,4.0
E02,3,G3,G,Vnútorná konzistentnosť rozhovoru,4,4,4,4.0
E02,4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,4,4,4,4.0
E02,5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,4,4,4,4.0
E02,6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,4,4,4,4.0
E02,7,S2,S,Odhad funkčného dopadu na bežné fungovanie,4,4,4,4.0
E02,8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,2,2,2,2.0
E02,9,R2,R,Klišé alebo šablónovité odpovede,2,2,2,2.0
E02,10,R3,R,Nesúlad medzi kontextom a symptomatikou,2,2,2,2.0
E02,11,R4,R,Podozrenie na inú primárnu psychopatológiu,4,4,4,4.0
E02,12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,2,2,2,2.0
E03,1,G1,G,Klinická vierohodnosť rozhovoru,2,2,3,2.333
E03,2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,3,2,3,2.667
E03,3,G3,G,Vnútorná konzistentnosť rozhovoru,3,2,3,2.667
E03,4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,2,3,3,2.667
E03,5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,3,2,2,2.333
E03,6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,3,2,3,2.667
E03,7,S2,S,Odhad funkčného dopadu na bežné fungovanie,3,3,3,3.0
E03,8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,2,3,3,2.667
E03,9,R2,R,Klišé alebo šablónovité odpovede,3,2,3,2.667
E03,10,R3,R,Nesúlad medzi kontextom a symptomatikou,2,2,3,2.333
E03,11,R4,R,Podozrenie na inú primárnu psychopatológiu,3,3,2,2.667
