guessed_origin,n,grouping,guardrail,profile,prop
ai_generated,11,overall,NA,NA,0.06626506024096386
human_simulated,11,overall,NA,NA,0.06626506024096386
real_participant,3,overall,NA,NA,0.018072289156626505
NA,141,overall,NA,NA,0.8493975903614458
ai_generated,11,guardrail,off,NA,0.11702127659574468
human_simulated,11,guardrail,off,NA,0.11702127659574468
real_participant,3,guardrail,off,NA,0.031914893617021274
NA,69,guardrail,off,NA,0.7340425531914894
NA,72,guardrail,on,NA,1
ai_generated,11,profile,NA,R1,0.15714285714285714
human_simulated,11,profile,NA,R1,0.15714285714285714
real_participant,3,profile,NA,R1,0.04285714285714286
NA,45,profile,NA,R1,0.6428571428571429
NA,48,profile,NA,R2,1
NA,48,profile,NA,R3,1
ai_generated,11,guardrail_profile,off,R1,0.2391304347826087
human_simulated,11,guardrail_profile,off,R1,0.2391304347826087
real_participant,3,guardrail_profile,off,R1,0.06521739130434782
NA,21,guardrail_profile,off,R1,0.45652173913043476
NA,24,guardrail_profile,off,R2,1
NA,24,guardrail_profile,off,R3,1
NA,24,guardrail_profile,on,R1,1
NA,24,guardrail_profile,on,R2,1
NA,24,guardrail_profile,on,R3,1
