outcome,model_type,term,estimate,std_error,statistic,p_value,conf_low,conf_high,status,detail
Kompozit klinickej vierohodnosti,LMM sensitivity s random interceptom pre prepis rozhovoru,Intercept (referenčná kombinácia G0 × P1),3.8028358679451335,0.20629214488010664,18.434225259305315,3.0640116922416544e-5,3.398510693686606,4.207161042203661,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit klinickej vierohodnosti,LMM sensitivity s random interceptom pre prepis rozhovoru,Hlavný efekt klinického usmernenia G1 (vs. G0),0.028288290811733282,0.09309044431436925,0.30387964113913635,0.7615624157410585,-0.1541656273492618,0.21074220897272838,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit klinickej vierohodnosti,LMM sensitivity s random interceptom pre prepis rozhovoru,Hlavný efekt P2 (vs. P1),-0.01618719439574364,0.09002304088965057,-0.17981168194024635,0.8574981925247607,-0.19262911231823535,0.16025472352674805,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit klinickej vierohodnosti,LMM sensitivity s random interceptom pre prepis rozhovoru,Hlavný efekt P3 (vs. P1),-0.006927935136484038,0.09002304088965057,-0.07695735522838246,0.9387410495852595,-0.18336985305897574,0.16951398278600766,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit klinickej vierohodnosti,LMM sensitivity s random interceptom pre prepis rozhovoru,Interakcia klinického usmernenia G1 × P2,0.024282839554444276,0.1384761121570797,0.1753576062772412,0.8609942317716672,-0.247125352992561,0.29569103210144954,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit klinickej vierohodnosti,LMM sensitivity s random interceptom pre prepis rozhovoru,Interakcia klinického usmernenia G1 × P3,0.01947340843557785,0.13732039729517564,0.1418100210831679,0.887387443994395,-0.24966962460569778,0.2886164414768535,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit defektov,LMM sensitivity s random interceptom pre prepis rozhovoru,Intercept (referenčná kombinácia G0 × P1),2.1553707416325825,0.18527514494595748,11.633350724196049,2.2755579794133022e-4,1.7922381303080677,2.5185033529570973,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit defektov,LMM sensitivity s random interceptom pre prepis rozhovoru,Hlavný efekt klinického usmernenia G1 (vs. G0),-0.130894160513541,0.08874221601805041,-1.474993147420578,0.14191556148239506,-0.3048257078171932,0.04303738679011124,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit defektov,LMM sensitivity s random interceptom pre prepis rozhovoru,Hlavný efekt P2 (vs. P1),-0.052739975668120595,0.08581984938182553,-0.6145428598164097,0.5396132097359809,-0.2209437896151506,0.11546383827890942,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit defektov,LMM sensitivity s random interceptom pre prepis rozhovoru,Hlavný efekt P3 (vs. P1),-0.013851086779232349,0.08581984938182553,-0.16139723943824186,0.8719570087814774,-0.18205490072626238,0.15435272716779766,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit defektov,LMM sensitivity s random interceptom pre prepis rozhovoru,Interakcia klinického usmernenia G1 × P2,0.1117917036495506,0.13206375497225592,0.8464979938896626,0.3983880384626104,-0.14704849975919337,0.3706319070582946,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
Kompozit defektov,LMM sensitivity s random interceptom pre prepis rozhovoru,Interakcia klinického usmernenia G1 × P3,0.023572088739321814,0.1309616803650619,0.17999225936635432,0.857359139570953,-0.23310808813104578,0.2802522656096894,ok,Sensitivity model s random interceptom pre `transcript_id`. p_value from lmerTest Satterthwaite approximation. Singular fit detected (tol = 1e-4). Convergence note: boundary (singular) fit: see help('isSingular')
