cluster,guardrail,n,grouping,profile
C1,off,17,guardrail,NA
C1,on,15,guardrail,NA
C2,off,19,guardrail,NA
C2,on,21,guardrail,NA
C1,NA,9,profile,R1
C1,NA,12,profile,R2
C1,NA,11,profile,R3
C2,NA,15,profile,R1
C2,NA,12,profile,R2
C2,NA,13,profile,R3
C1,off,4,guardrail_profile,R1
C1,off,6,guardrail_profile,R2
C1,off,7,guardrail_profile,R3
C1,on,5,guardrail_profile,R1
C1,on,6,guardrail_profile,R2
C1,on,4,guardrail_profile,R3
C2,off,8,guardrail_profile,R1
C2,off,6,guardrail_profile,R2
C2,off,5,guardrail_profile,R3
C2,on,7,guardrail_profile,R1
C2,on,6,guardrail_profile,R2
C2,on,8,guardrail_profile,R3
