cluster,guardrail,n,grouping,profile
C1,G0,19,Klinické usmernenie,NA
C1,G1,19,Klinické usmernenie,NA
C2,G0,17,Klinické usmernenie,NA
C2,G1,17,Klinické usmernenie,NA
C1,NA,9,Profil,P1
C1,NA,14,Profil,P2
C1,NA,15,Profil,P3
C2,NA,15,Profil,P1
C2,NA,10,Profil,P2
C2,NA,9,Profil,P3
C1,G0,6,Klinické usmernenie × profil,P1
C1,G0,6,Klinické usmernenie × profil,P2
C1,G0,7,Klinické usmernenie × profil,P3
C1,G1,3,Klinické usmernenie × profil,P1
C1,G1,8,Klinické usmernenie × profil,P2
C1,G1,8,Klinické usmernenie × profil,P3
C2,G0,6,Klinické usmernenie × profil,P1
C2,G0,6,Klinické usmernenie × profil,P2
C2,G0,5,Klinické usmernenie × profil,P3
C2,G1,9,Klinické usmernenie × profil,P1
C2,G1,4,Klinické usmernenie × profil,P2
C2,G1,4,Klinické usmernenie × profil,P3
