variable_1,variable_2,rho,status,detail
Kompozit klinickej vierohodnosti,Kompozit klinickej vierohodnosti,1,ok,NA
Kompozit defektov,Kompozit klinickej vierohodnosti,-0.811434032100538,ok,NA
Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,Kompozit klinickej vierohodnosti,0.24600347422734692,ok,NA
Prirodzenosť jazyka a štýlu odpovedí,Kompozit klinickej vierohodnosti,0.36224816131328114,ok,NA
Použiteľnosť rozhovoru na tréningové / výučbové účely,Kompozit klinickej vierohodnosti,0.7521459170174475,ok,NA
Kompozit klinickej vierohodnosti,Kompozit defektov,-0.811434032100538,ok,NA
Kompozit defektov,Kompozit defektov,0.9999999999999999,ok,NA
Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,Kompozit defektov,-0.2631307787331326,ok,NA
Prirodzenosť jazyka a štýlu odpovedí,Kompozit defektov,-0.4507630540457268,ok,NA
Použiteľnosť rozhovoru na tréningové / výučbové účely,Kompozit defektov,-0.7806029109821799,ok,NA
Kompozit klinickej vierohodnosti,Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,0.24600347422734692,ok,NA
Kompozit defektov,Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,-0.2631307787331326,ok,NA
Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,1,ok,NA
Prirodzenosť jazyka a štýlu odpovedí,Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,-0.16798867586072624,ok,NA
Použiteľnosť rozhovoru na tréningové / výučbové účely,Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,0.07679082695443848,ok,NA
Kompozit klinickej vierohodnosti,Prirodzenosť jazyka a štýlu odpovedí,0.36224816131328114,ok,NA
Kompozit defektov,Prirodzenosť jazyka a štýlu odpovedí,-0.4507630540457268,ok,NA
Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,Prirodzenosť jazyka a štýlu odpovedí,-0.16798867586072624,ok,NA
Prirodzenosť jazyka a štýlu odpovedí,Prirodzenosť jazyka a štýlu odpovedí,1,ok,NA
Použiteľnosť rozhovoru na tréningové / výučbové účely,Prirodzenosť jazyka a štýlu odpovedí,0.5518700506545752,ok,NA
Kompozit klinickej vierohodnosti,Použiteľnosť rozhovoru na tréningové / výučbové účely,0.7521459170174475,ok,NA
Kompozit defektov,Použiteľnosť rozhovoru na tréningové / výučbové účely,-0.7806029109821799,ok,NA
Priemerná absolútna chyba v symptomatických doménach A1-A9 voči seedu,Použiteľnosť rozhovoru na tréningové / výučbové účely,0.07679082695443848,ok,NA
Prirodzenosť jazyka a štýlu odpovedí,Použiteľnosť rozhovoru na tréningové / výučbové účely,0.5518700506545752,ok,NA
Použiteľnosť rozhovoru na tréningové / výučbové účely,Použiteľnosť rozhovoru na tréningové / výučbové účely,1,ok,NA
