transcript_id,seed_id,guardrail,profile,plausibility_index,defect_index,symptom_error_mean,s1,s2,severity_error,impact_error,g2,g5,n_ratings
MDD-AI-SIMULATION-TX-0001,S01,off,R1,3.7222222222222223,2.2333333333333334,0.2222222222222222,2.6666666666666665,3,0.33333333333333337,0.6666666666666666,2.5,3.6666666666666665,6
MDD-AI-SIMULATION-TX-0002,S02,off,R1,4.166666666666667,2,0.5555555555555556,2.5,2.75,0.5,0.25,3.5,3.75,4
MDD-AI-SIMULATION-TX-0003,S03,off,R1,4.333333333333333,1.75,0.6666666666666666,3.75,3.5,0.75,1,4,4.25,4
MDD-AI-SIMULATION-TX-0004,S04,off,R1,3.5,2.4,0.4444444444444444,2.25,2.5,0.75,0.5,3.75,3.25,4
MDD-AI-SIMULATION-TX-0005,S05,off,R1,4,1.9500000000000002,0.7777777777777778,2.75,3,0.25,0.5,3,3.5,4
MDD-AI-SIMULATION-TX-0006,S06,off,R1,4.25,1.5,0.4444444444444444,2.5,3,0.5,0.5,4.25,4.25,4
MDD-AI-SIMULATION-TX-0007,S07,off,R1,4.416666666666667,1.7000000000000002,0.5555555555555556,3,3,1,1,4.5,4.25,4
MDD-AI-SIMULATION-TX-0008,S08,off,R1,3.833333333333333,2.4,0.4444444444444444,2.5,2.5,0.5,0.5,4,3.5,4
MDD-AI-SIMULATION-TX-0009,S09,off,R1,3.5555555555555554,2.2666666666666666,0.2222222222222222,2,2.3333333333333335,1,0.6666666666666666,4,3.3333333333333335,3
MDD-AI-SIMULATION-TX-0010,S10,off,R1,4.333333333333333,1.6,0.7777777777777778,3.3333333333333335,3.3333333333333335,0.33333333333333337,0.33333333333333337,4,4.333333333333333,3
MDD-AI-SIMULATION-TX-0011,S11,off,R1,4.444444444444445,1.5333333333333332,0.6666666666666666,3.3333333333333335,3.3333333333333335,0.33333333333333337,0.6666666666666666,4,4.333333333333333,3
MDD-AI-SIMULATION-TX-0012,S12,off,R1,4.222222222222222,1.8666666666666667,0.6666666666666666,3,2.6666666666666665,0.6666666666666666,0.33333333333333337,4.333333333333333,4.333333333333333,3
MDD-AI-SIMULATION-TX-0013,S01,on,R3,4.333333333333334,1.5,0.2222222222222222,3,3.5,0,0.5,4.5,4.5,2
MDD-AI-SIMULATION-TX-0014,S01,off,R2,3.833333333333333,2.2,0.2222222222222222,3,3,0,0,4,3,2
MDD-AI-SIMULATION-TX-0015,S02,off,R2,4,2,0.3333333333333333,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0016,S03,off,R2,4.333333333333334,1.5,0.5555555555555556,3.5,3.5,0.5,0.5,4,4.5,2
MDD-AI-SIMULATION-TX-0017,S04,off,R2,3.666666666666667,2.4,0.6666666666666666,2.5,3,0.5,0,4,3,2
MDD-AI-SIMULATION-TX-0018,S05,off,R2,3.666666666666667,2.1,0.4444444444444444,2.5,2.5,0.5,0.5,4,3,2
MDD-AI-SIMULATION-TX-0019,S06,off,R2,4.166666666666666,1.7,0.4444444444444444,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0020,S07,off,R2,4.5,1.5,0.5555555555555556,3.5,3.5,0.5,0.5,4.5,4.5,2
MDD-AI-SIMULATION-TX-0021,S08,off,R2,3.5,2.3,0.2222222222222222,2.5,2.5,0.5,0.5,4,3,2
MDD-AI-SIMULATION-TX-0022,S09,off,R2,4.333333333333333,1.6,0.3333333333333333,3.5,3,0.5,0,4,4,2
MDD-AI-SIMULATION-TX-0023,S10,off,R2,4,2.1,0.8888888888888888,3.5,3.5,0.5,0.5,3,3,2
MDD-AI-SIMULATION-TX-0024,S11,off,R2,4,2,0.6666666666666666,3,3,0,1,4,4,2
MDD-AI-SIMULATION-TX-0025,S12,off,R2,3.666666666666667,2.2,0.5555555555555556,3,3,0,0,4,3.5,2
MDD-AI-SIMULATION-TX-0026,S01,off,R3,4.5,1.6,0.4444444444444444,3.5,3.5,0.5,0.5,4.5,4.5,2
MDD-AI-SIMULATION-TX-0027,S02,off,R3,4.333333333333334,1.5,0.5555555555555556,3.5,3.5,0.5,0.5,4,4.5,2
MDD-AI-SIMULATION-TX-0028,S03,off,R3,4,2.1,0.6666666666666666,3.5,3,0.5,1,3,3,2
MDD-AI-SIMULATION-TX-0029,S04,off,R3,4,2.1,0.5555555555555556,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0030,S05,off,R3,3.5,2.2,0.6666666666666666,3,3,0,0,4,3,2
MDD-AI-SIMULATION-TX-0031,S06,off,R3,4,2,0.6666666666666666,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0032,S07,off,R3,4,2.4,0.7777777777777778,3,3,0,0,3,3,2
MDD-AI-SIMULATION-TX-0033,S08,off,R3,3.666666666666667,2.4,0.1111111111111111,2.5,3,0.5,1,3.5,3,2
MDD-AI-SIMULATION-TX-0034,S09,off,R3,4,2.2,0.3333333333333333,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0035,S10,off,R3,3.666666666666667,2.3,0.7777777777777778,2.5,3,0.5,0,4,3,2
MDD-AI-SIMULATION-TX-0036,S11,off,R3,4,2.1,0.7777777777777778,3,3,0,1,4,4,2
MDD-AI-SIMULATION-TX-0037,S12,off,R3,4,1.7,0.7777777777777778,3,2.5,0,0.5,4,4,2
MDD-AI-SIMULATION-TX-0038,S01,on,R1,4.166666666666666,2.1,0.3333333333333333,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0039,S02,on,R1,4,2.1,0.4444444444444444,3,3,0,0,3.5,4,2
MDD-AI-SIMULATION-TX-0040,S03,on,R1,4,2,0.5555555555555556,3,3,1,1,4,4,2
MDD-AI-SIMULATION-TX-0041,S04,on,R1,4,1.9,0.6666666666666666,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0042,S05,on,R1,4,1.8,0.6666666666666666,3.5,3.5,0.5,0.5,4,4,2
MDD-AI-SIMULATION-TX-0043,S06,on,R1,4,1.7,0.5555555555555556,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0044,S07,on,R1,4.5,1.7,0.3333333333333333,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0045,S08,on,R1,3.666666666666667,2.3,0.3333333333333333,2.5,3,0.5,1,4,3.5,2
MDD-AI-SIMULATION-TX-0046,S09,on,R1,3,2.6,0.2222222222222222,2.5,3.5,0.5,0.5,4,2.5,2
MDD-AI-SIMULATION-TX-0047,S10,on,R1,4.333333333333334,1.8,0.7777777777777778,3.5,4,0.5,1,3.5,4,2
MDD-AI-SIMULATION-TX-0048,S11,on,R1,4.333333333333334,1.7,0.7777777777777778,3.5,3.5,0.5,0.5,4,4,2
