variable,n_non_missing,levels_used,median,iqr,mean,sd,min,max,analysis_unit,section
g1,4,2,3.5,1,3.5,0.5773502691896257,3,4,rating,items
g2,4,3,2.5,1.25,2.75,0.9574271077563381,2,4,rating,items
g3,4,1,4,0,4,0,4,4,rating,items
g4,4,3,3.5,1.25,3.25,0.9574271077563381,2,4,rating,items
g5,4,3,3,0.5,3,0.816496580927726,2,4,rating,items
guess_confidence,4,2,3,0.25,3.25,0.5,3,4,rating,items
r1,4,1,2,0,2,0,2,2,rating,items
r2,4,2,2,0.5,2.5,1,2,4,rating,items
r3,4,1,2,0,2,0,2,2,rating,items
r4,4,2,4,0.5,3.5,1,2,4,rating,items
r5,4,1,2,0,2,0,2,2,rating,items
s1,4,2,2,0.25,2.25,0.5,2,3,rating,items
s2,4,2,2,0.25,2.25,0.5,2,3,rating,items
a1,4,2,2,0.25,2.25,0.5,2,3,transcript,items
a2,4,2,2,0.25,2.25,0.5,2,3,transcript,items
a3,4,1,3,0,3,0,3,3,transcript,items
a4,4,3,1.5,1.25,1.25,0.9574271077563381,0,2,transcript,items
a5,4,2,1.5,1,1.5,0.5773502691896257,1,2,transcript,items
a6,4,1,3,0,3,0,3,3,transcript,items
a7,4,2,2,0.25,2.25,0.5,2,3,transcript,items
a8,4,1,2,0,2,0,2,2,transcript,items
a9,4,2,0,0.25,0.25,0.5,0,1,transcript,items
defect_index,4,NA,2.4,0,2.4,0,2.4,2.4,rating,composites
plausibility_index,4,NA,3.6666666666666665,0.08333333333333304,3.583333333333333,0.16666666666666652,3.3333333333333335,3.6666666666666665,rating,composites
impact_error,4,NA,1,0,1,0,1,1,transcript,composites
severity_error,4,NA,1,0,1,0,1,1,transcript,composites
symptom_error_mean,4,NA,0.5,0.19444444444444453,0.4722222222222222,0.18975834751777032,0.2222222222222222,0.6666666666666666,transcript,composites
