variable,response,n,prop
g1,1,1,0.006024096385542169
g1,2,3,0.018072289156626505
g1,3,14,0.08433734939759036
g1,4,126,0.7590361445783133
g1,5,22,0.13253012048192772
g2,1,1,0.006024096385542169
g2,2,13,0.0783132530120482
g2,3,10,0.060240963855421686
g2,4,132,0.7951807228915663
g2,5,10,0.060240963855421686
g3,2,2,0.012048192771084338
g3,3,10,0.060240963855421686
g3,4,129,0.7771084337349398
g3,5,25,0.15060240963855423
g4,2,4,0.024096385542168676
g4,3,18,0.10843373493975904
g4,4,124,0.7469879518072289
g4,5,20,0.12048192771084337
g5,1,1,0.006024096385542169
g5,2,18,0.10843373493975904
g5,3,15,0.09036144578313253
g5,4,112,0.6746987951807228
g5,5,20,0.12048192771084337
r1,1,20,0.12048192771084337
r1,2,129,0.7771084337349398
r1,3,13,0.0783132530120482
r1,4,4,0.024096385542168676
r2,1,14,0.08433734939759036
r2,2,124,0.7469879518072289
r2,3,18,0.10843373493975904
r2,4,9,0.05421686746987952
r2,5,1,0.006024096385542169
r3,1,35,0.21084337349397592
r3,2,112,0.6746987951807228
r3,3,10,0.060240963855421686
r3,4,9,0.05421686746987952
r4,1,31,0.18674698795180722
r4,2,102,0.6144578313253012
r4,3,22,0.13253012048192772
r4,4,10,0.060240963855421686
r4,5,1,0.006024096385542169
r5,1,60,0.3614457831325301
r5,2,102,0.6144578313253012
r5,3,3,0.018072289156626505
r5,4,1,0.006024096385542169
s1,1,1,0.006024096385542169
s1,2,23,0.13855421686746988
s1,3,109,0.6566265060240963
s1,4,30,0.18072289156626506
s1,5,3,0.018072289156626505
s2,2,18,0.10843373493975904
s2,3,118,0.7108433734939759
s2,4,26,0.1566265060240964
s2,5,4,0.024096385542168676
